hardware_id,created_at,Wh,voltage ry,voltage yb,voltage br,Voltage R,Voltage Y,Voltage B,Current R,Current Y,Current B
abcdefgh,2019-06-27T17:28:00.000Z,68617.20596,0,402,398,230,234,231,6.46875,6.3125,7.0625
abcdefgh,2019-06-27T17:26:00.000Z,68601.5554,0,402,400,230,234,231,6.375,6.40625,6.9375
abcdefgh,2019-06-27T17:24:00.000Z,68586.03766,0,402,398,229,234,231,6.46875,6.3125,7.03125
abcdefgh,2019-06-27T17:22:00.000Z,68570.06882,0,402,398,230,233,231,6.375,6.25,7.1875
abcdefgh,2019-06-27T17:20:00.000Z,68554.63301,0,402,398,229,233,231,6.28125,6.28125,7.28125
abcdefgh,2019-06-27T17:19:00.000Z,68539.2019,0,402,400,230,233,231,6.40625,6.1875,7.21875
abcdefgh,2019-06-27T17:17:00.000Z,68523.69956,0,402,400,231,234,231,6.34375,6.21875,7.21875
abcdefgh,2019-06-27T17:15:00.000Z,68508.2677,0,402,398,230,233,231,6.375,6.21875,7.21875
abcdefgh,2019-06-27T17:13:00.000Z,68492.88574,0,402,400,230,233,231,6.3125,6.21875,7.21875
abcdefgh,2019-06-27T17:12:00.000Z,68477.50903,0,402,398,230,234,231,6.34375,6.28125,7
abcdefgh,2019-06-27T17:10:00.000Z,68462.13301,0,402,400,231,234,231,6.46875,6.3125,7.03125
abcdefgh,2019-06-27T17:08:00.000Z,68446.80833,0,402,400,230,233,231,6.375,6.28125,7.09375
abcdefgh,2019-06-27T17:06:00.000Z,68431.03308,0,404,400,230,235,232,6.40625,6.3125,7
abcdefgh,2019-06-27T17:04:00.000Z,68415.00318,0,402,400,229,235,232,6.5,6.4375,7.03125
abcdefgh,2019-06-27T17:03:00.000Z,68399.21128,0,404,398,229,234,231,6.5,6.3125,7.03125
abcdefgh,2019-06-27T17:01:00.000Z,68383.62961,0,402,398,229,234,231,6.4375,6.21875,7.125
abcdefgh,2019-06-27T16:59:00.000Z,68368.45336,0,400,398,229,233,230,6.3125,6.1875,7.1875
abcdefgh,2019-06-27T16:56:00.000Z,68347.30892,0,400,398,230,233,230,6.46875,6.28125,7.0625
abcdefgh,2019-06-27T16:55:00.000Z,68332.45405,0,400,398,230,232,230,6.40625,6.34375,7.0625
abcdefgh,2019-06-27T16:53:00.000Z,68317.66368,0,402,398,230,233,230,6.34375,6.1875,7.0625
abcdefgh,2019-06-27T16:51:00.000Z,68302.69819,0,402,398,229,233,230,6.375,6.28125,7.125
abcdefgh,2019-06-27T16:49:00.000Z,68287.95922,0,402,396,228,233,230,6.46875,6.40625,7.03125
abcdefgh,2019-06-27T16:47:00.000Z,68273.06017,0,400,396,228,233,230,6.46875,6.28125,6.96875
abcdefgh,2019-06-27T16:46:00.000Z,68258.36711,0,400,396,229,233,230,6.4375,6.25,7.1875
abcdefgh,2019-06-27T16:44:00.000Z,68243.89998,0,400,396,228,232,229,6.40625,6.21875,7.1875
abcdefgh,2019-06-27T16:42:00.000Z,68229.01487,0,400,396,228,232,229,6.34375,6.28125,7.125
abcdefgh,2019-06-27T16:40:00.000Z,68214.53568,0,400,398,229,233,230,6.4375,6.25,7.25
abcdefgh,2019-06-27T16:38:00.000Z,68199.97169,0,400,396,229,232,230,6.375,6.28125,7.125
abcdefgh,2019-06-27T16:37:00.000Z,68185.58806,0,400,396,228,232,229,6.40625,6.1875,7.3125
abcdefgh,2019-06-27T16:35:00.000Z,68171.00958,0,400,398,229,232,229,6.4375,6.28125,7.1875
abcdefgh,2019-06-27T16:33:00.000Z,68156.49972,0,400,396,228,232,230,6.40625,6.25,7.15625
abcdefgh,2019-06-27T16:31:00.000Z,68141.75861,0,400,398,228,233,230,6.46875,6.4375,6.96875
abcdefgh,2019-06-27T16:29:00.000Z,68127.17747,0,400,396,228,233,230,6.46875,6.28125,7.15625
abcdefgh,2019-06-27T16:28:00.000Z,68112.63882,0,400,396,228,233,230,6.40625,6.28125,7.15625
abcdefgh,2019-06-27T16:26:00.000Z,68098.09868,0,400,396,228,233,230,6.34375,6.3125,7.28125
abcdefgh,2019-06-27T16:24:00.000Z,68083.68061,0,400,396,229,232,230,6.375,6.28125,7.21875
abcdefgh,2019-06-27T16:22:00.000Z,68069.13086,0,400,396,228,232,230,6.375,6.25,7.15625
abcdefgh,2019-06-27T16:20:00.000Z,68054.64662,0,400,396,228,233,230,6.28125,6.21875,7.21875
abcdefgh,2019-06-27T16:19:00.000Z,68039.96606,0,400,398,229,233,230,6.40625,6.25,7.25
abcdefgh,2019-06-27T16:17:00.000Z,68025.33598,0,402,398,230,233,230,6.34375,6.28125,7.15625
abcdefgh,2019-06-27T16:15:00.000Z,68010.77476,0,400,396,229,233,230,6.4375,6.28125,7.125
abcdefgh,2019-06-27T16:13:00.000Z,67996.2606,0,400,396,228,233,230,6.4375,6.3125,7.15625
abcdefgh,2019-06-27T16:10:00.000Z,67969.03614,0,400,396,228,232,230,6.4375,6.40625,7
abcdefgh,2019-06-27T16:08:00.000Z,67954.47553,0,400,396,228,233,230,6.4375,6.28125,7.125
abcdefgh,2019-06-27T16:06:00.000Z,67940.27396,0,400,396,229,232,229,6.375,6.28125,7.1875
abcdefgh,2019-06-27T16:04:00.000Z,67918.61575,0,400,398,230,233,230,6.46875,6.3125,7.15625
abcdefgh,2019-06-27T16:01:00.000Z,67896.4105,0,412,408,236,239,236,6.4375,6.28125,7.1875
abcdefgh,2019-06-27T15:59:00.000Z,67877.19239,0,412,408,235,239,236,6.34375,6.25,7.4375
abcdefgh,2019-06-27T15:57:00.000Z,67858.26036,0,410,406,234,238,235,6.46875,6.3125,7.375
abcdefgh,2019-06-27T15:55:00.000Z,67831.05482,0,410,406,234,238,235,6.4375,6.28125,7.25
abcdefgh,2019-06-27T15:52:00.000Z,67804.08118,0,408,406,234,237,235,6.4375,6.34375,7.28125
abcdefgh,2019-06-27T15:51:00.000Z,67795.85267,0,408,404,232,237,234,6.5625,6.375,7.09375
abcdefgh,2019-06-27T15:50:00.000Z,67777.45123,0,408,404,232,238,234,6.46875,6.3125,7.21875
abcdefgh,2019-06-27T15:48:00.000Z,67758.84442,0,408,404,233,238,234,6.4375,6.28125,7.15625
abcdefgh,2019-06-27T15:46:00.000Z,67740.49571,0,408,404,233,237,234,6.4375,6.28125,7.21875
abcdefgh,2019-06-27T15:44:00.000Z,67722.2457,0,406,404,233,237,234,6.375,6.21875,7.21875
abcdefgh,2019-06-27T15:42:00.000Z,67704.04008,0,406,404,232,236,233,6.375,6.28125,7.21875
abcdefgh,2019-06-27T15:41:00.000Z,67686.10492,0,406,404,233,236,233,6.34375,6.21875,7.25
abcdefgh,2019-06-27T15:39:00.000Z,67668.38448,0,406,404,233,236,233,6.375,6.25,7.15625
abcdefgh,2019-06-27T15:37:00.000Z,67650.4159,0,406,402,231,236,233,6.4375,6.28125,7.0625
abcdefgh,2019-06-27T15:35:00.000Z,67632.34945,0,406,402,231,236,233,6.46875,6.34375,7.125
abcdefgh,2019-06-27T15:33:00.000Z,67614.37237,0,406,404,233,236,233,6.40625,6.25,7.15625
abcdefgh,2019-06-27T15:32:00.000Z,67596.48611,0,406,402,231,236,233,6.40625,6.21875,7.21875
abcdefgh,2019-06-27T15:28:00.000Z,67562.82386,0,408,406,233,237,234,6.5,6.3125,7.09375
